"Nimi" "Tyyppi" "Tyyppikd" "Sisalto" "Sisälto_tarkenne" "Tyyppi_lkm" "__"
"1" "Suvi)" "TopScorer" "TS" "Rachel Daly" "Englanti" NA NA
"2" "Suvi)" "Mestari" "M" "Englanti" NA NA NA
"3" "Suvi)" "Välierämaa" "Välierämaa1" "USA" NA NA NA
"4" "Suvi)" "Välierämaa" "Välierämaa2" "Espanja" NA NA NA
"5" "Suvi)" "Välierämaa" "Välierämaa3" "Ranska" NA NA NA
"6" "Suvi)" "Välierämaa" "Välierämaa4" "Englanti" NA NA NA
"7" "Suvi)" "Maalintekijä" "Maalintekijä1" "Rachel Daly" "Englanti" NA NA
"8" "Suvi)" "Maalintekijä" "Maalintekijä2" "Sam Kerr" "Australia" NA NA
"9" "Suvi)" "Maalintekijä" "Maalintekijä3" "Alessia Russo" "Englanti" NA NA
"10" "Suvi)" "Maalintekijä" "Maalintekijä4" "Alex Popp" "Saksa" NA NA
"11" "Suvi)" "Maalintekijä" "Maalintekijä5" "Jennifer Hermoso" "Espanja" NA NA
"12" "Suvi)" "Maalintekijä" "Maalintekijä6" "Alex Morgan" "Usa" NA NA
"13" "Ella" "TopScorer" "TS" "Sophia Smith" "Usa" NA NA
"14" "Ella" "Mestari" "M" "USA" NA NA NA
"15" "Ella" "Välierämaa" "Välierämaa1" "USA" NA NA NA
"16" "Ella" "Välierämaa" "Välierämaa2" "Englanti" NA NA NA
"17" "Ella" "Välierämaa" "Välierämaa3" "Ruotsi" NA NA NA
"18" "Ella" "Välierämaa" "Välierämaa4" "Brasilia" NA NA NA
"19" "Ella" "Maalintekijä" "Maalintekijä1" "Alex Popp" "Saksa" NA NA
"20" "Ella" "Maalintekijä" "Maalintekijä2" "Trinity Rodman" "Usa" NA NA
"21" "Ella" "Maalintekijä" "Maalintekijä3" "Lucy Bronze" "Englanti" NA NA
"22" "Ella" "Maalintekijä" "Maalintekijä4" "Stina Blackstenius" "Ruotsi" NA NA
